Year,TrainKms,FatalAccidents,Fatalities,Group,FatalAccTrainKm,FatalitiesTrainKm,FatalitiesAccident
1967,0.46,7,73,1,15.217391304,158.69565217,10.428571429
1968,0.45,1,2,1,2.2222222222,4.4444444444,2
1969,0.45,7,17,1,15.555555556,37.777777778,2.4285714286
1970,0.45,2,3,1,4.4444444444,6.6666666667,1.5
1971,0.44,6,9,1,13.636363636,20.454545455,1.5
1972,0.43,2,7,2,4.6511627907,16.279069767,3.5
1973,0.43,3,16,2,6.976744186,37.209302326,5.3333333333
1974,0.45,2,2,2,4.4444444444,4.4444444444,1
1975,0.44,5,11,2,11.363636364,25,2.2
1976,0.43,2,3,2,4.6511627907,6.976744186,1.5
1977,0.42,1,2,3,2.380952381,4.7619047619,2
1978,0.43,2,4,3,4.6511627907,9.3023255814,2
1979,0.43,3,13,3,6.976744186,30.23255814,4.3333333333
1980,0.43,2,3,3,4.6511627907,6.976744186,1.5
1981,0.42,2,5,3,4.7619047619,11.904761905,2.5
1982,0.37,2,2,4,5.4054054054,5.4054054054,1
1983,0.4,2,2,4,5,5,1
1984,0.39,5,22,4,12.820512821,56.41025641,4.4
1985,0.42,0,0,4,0,0,
1986,0.41,2,2,4,4.8780487805,4.8780487805,1
1987,0.4,1,4,5,2.5,10,4
1988,0.44,2,36,5,4.5454545455,81.818181818,18
1989,0.44,4,10,5,9.0909090909,22.727272727,2.5
1990,0.43,1,1,5,2.3255813953,2.3255813953,1
1991,0.44,2,6,5,4.5454545455,13.636363636,3
1992,0.43,1,1,6,2.3255813953,2.3255813953,1
1993,0.43,0,0,6,0,0,
1994,0.42,2,7,6,4.7619047619,16.666666667,3.5
1995,0.42,1,1,6,2.380952381,2.380952381,1
1996,0.44,2,2,6,4.5454545455,4.5454545455,1
1997,0.46,1,7,7,2.1739130435,15.217391304,7
1998,0.49,0,0,7,0,0,
1999,0.5,1,31,7,2,62,31
2000,0.51,1,4,7,1.9607843137,7.8431372549,4
